project,test_case_1,test_case_2,topdown_subtree_size,topdown_similarity,bottomup_subtree_size,bottomup_similarity,combined_subtree_size,combined_similarity
Csv_1,ExtendedBufferedReader_1_4Test,ExtendedBufferedReader_1_5Test,9,0.409091,7,0.318182,13,0.590909
Csv_1,ExtendedBufferedReader_1_4Test,ExtendedBufferedReader_1_6Test,21,0.617647,21,0.617647,22,0.647059
Csv_1,ExtendedBufferedReader_1_6Test,ExtendedBufferedReader_1_5Test,14,0.2,19,0.271429,25,0.357143
Csv_1,ExtendedBufferedReader_2_1Test,ExtendedBufferedReader_2_3Test,9,0.264706,7,0.205882,13,0.382353
Csv_1,ExtendedBufferedReader_2_1Test,ExtendedBufferedReader_2_5Test,20,0.285714,15,0.214286,29,0.414286
Csv_1,ExtendedBufferedReader_2_4Test,ExtendedBufferedReader_2_1Test,31,0.378049,30,0.365854,43,0.52439
Csv_1,ExtendedBufferedReader_2_4Test,ExtendedBufferedReader_2_3Test,30,0.606061,13,0.262626,35,0.707071
Csv_1,ExtendedBufferedReader_2_4Test,ExtendedBufferedReader_2_5Test,30,0.408163,13,0.176871,36,0.489796
Csv_1,ExtendedBufferedReader_2_5Test,ExtendedBufferedReader_2_3Test,27,0.406015,23,0.345865,34,0.511278
Csv_1,ExtendedBufferedReader_2_6Test,ExtendedBufferedReader_2_1Test,33,0.578947,19,0.333333,40,0.701754
Csv_1,ExtendedBufferedReader_2_6Test,ExtendedBufferedReader_2_3Test,39,0.506494,14,0.181818,42,0.545455
Csv_1,ExtendedBufferedReader_2_6Test,ExtendedBufferedReader_2_4Test,23,0.328571,15,0.214286,32,0.457143
Csv_1,ExtendedBufferedReader_2_6Test,ExtendedBufferedReader_2_5Test,45,0.743802,21,0.347107,47,0.77686
Csv_1,ExtendedBufferedReader_3_1Test,ExtendedBufferedReader_3_2Test,29,0.308511,16,0.170213,39,0.414894
Csv_1,ExtendedBufferedReader_3_1Test,ExtendedBufferedReader_3_3Test,54,0.639053,31,0.366864,57,0.674556
Csv_1,ExtendedBufferedReader_3_1Test,ExtendedBufferedReader_3_4Test,25,0.322581,23,0.296774,38,0.490323
Csv_1,ExtendedBufferedReader_3_1Test,ExtendedBufferedReader_3_5Test,48,0.872727,47,0.854545,50,0.909091
Csv_1,ExtendedBufferedReader_3_2Test,ExtendedBufferedReader_3_3Test,32,0.435374,39,0.530612,51,0.693878
Csv_1,ExtendedBufferedReader_3_2Test,ExtendedBufferedReader_3_4Test,36,0.489796,43,0.585034,59,0.802721
Csv_1,ExtendedBufferedReader_3_2Test,ExtendedBufferedReader_3_5Test,57,0.527778,50,0.462963,67,0.62037
Csv_1,ExtendedBufferedReader_3_3Test,ExtendedBufferedReader_3_5Test,33,0.628571,26,0.495238,40,0.761905
Csv_1,ExtendedBufferedReader_3_4Test,ExtendedBufferedReader_3_3Test,44,0.633094,33,0.47482,52,0.748201
Csv_1,ExtendedBufferedReader_3_4Test,ExtendedBufferedReader_3_5Test,57,0.74026,43,0.558442,61,0.792208
Csv_1,ExtendedBufferedReader_4_1Test,ExtendedBufferedReader_4_3Test,31,0.331551,26,0.278075,39,0.417112
Csv_1,ExtendedBufferedReader_4_1Test,ExtendedBufferedReader_4_4Test,61,0.552036,50,0.452489,67,0.606335
Csv_1,ExtendedBufferedReader_4_1Test,ExtendedBufferedReader_4_5Test,51,0.432203,46,0.389831,64,0.542373
Csv_1,ExtendedBufferedReader_4_1Test,ExtendedBufferedReader_4_6Test,31,0.563636,25,0.454545,33,0.6
Csv_1,ExtendedBufferedReader_4_3Test,ExtendedBufferedReader_4_4Test,35,0.56,26,0.416,36,0.576
Csv_1,ExtendedBufferedReader_4_3Test,ExtendedBufferedReader_4_5Test,43,0.540881,37,0.465409,50,0.628931
Csv_1,ExtendedBufferedReader_4_3Test,ExtendedBufferedReader_4_6Test,9,0.120805,15,0.201342,22,0.295302
Csv_1,ExtendedBufferedReader_4_4Test,ExtendedBufferedReader_4_6Test,39,0.453488,37,0.430233,43,0.5
Csv_1,ExtendedBufferedReader_4_5Test,ExtendedBufferedReader_4_4Test,34,0.397661,25,0.292398,48,0.561404
Csv_1,ExtendedBufferedReader_4_5Test,ExtendedBufferedReader_4_6Test,18,0.25,14,0.194444,26,0.361111
Csv_1,ExtendedBufferedReader_5_4Test,ExtendedBufferedReader_5_1Test,14,0.383562,15,0.410959,21,0.575342
Csv_1,ExtendedBufferedReader_5_6Test,ExtendedBufferedReader_5_1Test,15,0.416667,12,0.333333,17,0.472222
Csv_1,ExtendedBufferedReader_5_6Test,ExtendedBufferedReader_5_4Test,9,0.4,14,0.622222,18,0.8
Csv_1,ExtendedBufferedReader_6_1Test,ExtendedBufferedReader_6_2Test,32,0.673684,24,0.505263,35,0.736842
Csv_1,ExtendedBufferedReader_6_1Test,ExtendedBufferedReader_6_3Test,16,0.470588,14,0.411765,22,0.647059
Csv_1,ExtendedBufferedReader_6_1Test,ExtendedBufferedReader_6_4Test,16,0.477612,10,0.298507,18,0.537313
Csv_1,ExtendedBufferedReader_6_1Test,ExtendedBufferedReader_6_5Test,89,0.671698,84,0.633962,115,0.867925
Csv_1,ExtendedBufferedReader_6_2Test,ExtendedBufferedReader_6_3Test,33,0.4,19,0.230303,41,0.49697
Csv_1,ExtendedBufferedReader_6_2Test,ExtendedBufferedReader_6_4Test,33,0.351064,21,0.223404,42,0.446809
Csv_1,ExtendedBufferedReader_6_2Test,ExtendedBufferedReader_6_5Test,45,0.291262,38,0.245955,66,0.427184
Csv_1,ExtendedBufferedReader_6_4Test,ExtendedBufferedReader_6_3Test,30,0.243902,20,0.162602,40,0.325203
Csv_1,ExtendedBufferedReader_6_5Test,ExtendedBufferedReader_6_3Test,37,0.279245,37,0.279245,60,0.45283
Csv_1,ExtendedBufferedReader_6_5Test,ExtendedBufferedReader_6_4Test,87,0.55414,57,0.363057,104,0.66242
Csv_1,ExtendedBufferedReader_7_3Test,ExtendedBufferedReader_7_1Test,46,0.384937,29,0.242678,60,0.502092
Csv_1,ExtendedBufferedReader_7_3Test,ExtendedBufferedReader_7_5Test,62,0.48062,50,0.387597,88,0.682171
Csv_1,ExtendedBufferedReader_7_3Test,ExtendedBufferedReader_7_6Test,72,0.469055,53,0.345277,100,0.651466
Csv_1,ExtendedBufferedReader_7_5Test,ExtendedBufferedReader_7_1Test,30,0.307692,28,0.287179,49,0.502564
Csv_1,ExtendedBufferedReader_7_6Test,ExtendedBufferedReader_7_1Test,48,0.393443,34,0.278689,66,0.540984
Csv_1,ExtendedBufferedReader_7_6Test,ExtendedBufferedReader_7_5Test,40,0.304183,44,0.334601,75,0.570342
